Brand,Name,City,Region,District,Rating,Review Count,Address,latitude,Longitude,PlaceID
Toyota,Abdul Latif Jameel Motors – Toyota (Service) | عبد اللطيف جميل للسيارات – تويوتا (الصيانة),Buraydah,Al Qassim Province,Buraydah Principality,3.6,98,"Dist, King Abdulaziz Rd, Sultanah, Buraydah 52377, Saudi Arabia",26.37817,43.908066,ChIJqxBGrmFXfxUREbqcIqOpF1k
Toyota,Alzugdi Co. - Toyota شركة تويوتا عبدالله الزقدى,Hail,Hail Province,Hail Principality,3.3,790,"400, Alkhamashiyyah, Hail 55423, Saudi Arabia",27.4767012,41.7323738,ChIJvbdovI9HdhURqP1LdQvF7MI
Toyota,Alzugdi Quick Service Center,Hail,Hail Province,Hail Principality,3.6,105,"2802, Alkhamashiyyah, Hail 55423, Saudi Arabia",27.4756456,41.7319419,ChIJDaUXc49HdhUREUCsidka4L8
Toyota,Abdul Latif Jameel Motors Toyota,تبوك,منطقة تبوك,امارة منطقة تبوك,3.5,1281,"King Khalid Rd, طريق الملك خالد، Al Aziziyyah al qadimah, Near Tabuk Electricity, تبوك 47912, Saudi Arabia",28.396131,36.559697,ChIJ2xQ_8qWtqRURvf_87KgO5gc
Toyota,Abdul Latif Jameel Motors – Toyota (Service) | عبد اللطيف جميل للسيارات – تويوتا (الصيانة),تبوك,منطقة تبوك,امارة منطقة تبوك,3.5,42,"Tabuk,Al Faisaleyah, طريق الملك خالد، Street, تبوك 47912, Saudi Arabia",28.396163,36.55976,ChIJq4plYyOtqRURrPlqascBsR8
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Al Baten,المنطقة الشرقية,حفر الباطن,3.5,175,"Hafer Al Baten, Al Baladia, King Khaled Street, Hafer, Al Baten 39922, Saudi Arabia",28.441793,46.00563,ChIJzasgMhNH1z8RrjBhGn31_TM
Toyota,Toyota Agency Abdul Latif Jameel,Hafar Al Batin,Eastern Province,Hafar Al-Batin,3.5,335,"C2R4+M4M, King Khalid Rd, Fulaij, Hafar Al Batin 39922, Saudi Arabia",28.4417247,46.0052986,ChIJ_xf3NBNH1z8RwfDIolP-wRc
Toyota,تويوتا ولكزس - حسن جميل للسيارات|Toyota & Lexus - Hassan Jameel Motors,Al Khobar,Eastern Province,Al Khobar,3.3,39,"Dist, King Khalid Rd, Al Thawn, Al Khobar 34632, Saudi Arabia",26.2243466,50.1949868,ChIJk7tbPibDST4R2LyYvXwQt1s
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,الهفوف‎,المنطقة الشرقية,الاحساء,3.5,1272,"Alhassa,Almiterfi, Ro, طريق الظهران، الشقيق، الهفوف‎ 36322, Saudi Arabia",25.486929,49.550674,ChIJ7adVqZW8Nz4RUYxhfIlCvEU
Toyota,Abdul Latif Jameel Motors – Toyota (Spare parts) | عبد اللطيف جميل للسيارات – تويوتا (قطع الغيار),Al Hofuf,Eastern Province,Al Ahsa,4.6,10,"Riyadh Rd, Al Salmaniyah North, Al Hofuf 36421, Saudi Arabia",25.361284,49.551851,ChIJr0XMwnKXNz4RSZnMdiOlHoY
Toyota,تويوتا - شركة دغمل للتجارة المحدودة (دحضة),Najran,Najran Province,Najran Principality,3.6,514,"4179 King Abdulaziz Rd, Dahdah, Najran 66273, Saudi Arabia",17.5137557,44.1760711,ChIJx7eDI_fp_hURkw47sPZvcOA
